_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8791153,3801,Orbit Express Airlines,,ORX,OREX,N,Turkey,MYG
56e9b497732b6122f8791154,3802,Orca Air,,ORK,ORCA TAXI,N,Egypt,MZR
56e9b497732b6122f8791155,3803,Orebro Aviation,,BUE,BLUELIGHT,N,Sweden,PPK
56e9b497732b6122f8791156,3804,Orel State Air Enterprise,,ORM,ORPRISE,N,Russia,CUF
56e9b497732b6122f8791157,3805,Orenburg Airlines,R2,ORB,ORENBURG,Y,Russia,RHI
56e9b497732b6122f8791158,3806,Organizacion De Transportes Aereos,,OTA,ORGANIZACION,N,Mexico,BKO
56e9b497732b6122f8791159,3807,Organizacoes Mambra,,OML,MAMBRA,N,Angola,GNU
56e9b497732b6122f879115a,3808,Orient Air,,OVV,ORIENTSYR,N,Syrian Arab Republic,RBQ
56e9b497732b6122f879115b,3809,Orient Airlines,,OTR,ORIENTROC,N,Sudan,BOH
56e9b497732b6122f879115c,3810,Orient Airways,,ORN,ORIENT LINER,N,Pakistan,LPM
56e9b497732b6122f879115d,3811,Orient Thai Airlines,OX,OEA,ORIENT THAI,Y,Thailand,PVH
56e9b497732b6122f879115e,3812,Oriental Air Bridge,,NGK,ORIENTAL BRIDGE,N,Japan,YYH
56e9b497732b6122f879115f,3813,Oriental Airlines,,OAC,ORIENTAL AIR,N,Nigeria,HLZ
56e9b497732b6122f8791160,3814,Origin Pacific Airways,QO,OGN,ORIGIN,Y,New Zealand,JEG
56e9b497732b6122f8791161,3815,Orion Air Charter,,OED,ORION CHARTER,N,South Africa,RKS
56e9b497732b6122f8791162,3816,Orion-x,,OIX,ORIONIX,N,Russia,TLH
56e9b497732b6122f8791163,3817,Orlan-2000,,KOV,ORLAN,N,Kazakhstan,KSC
56e9b497732b6122f8791164,3818,Ornage Aircraft Leasing,,RNG,ORANGE,N,Netherlands,VDH
56e9b497732b6122f8791165,3819,Orscom Tourist Installations Company,,OAD,ORSCOM,N,Egypt,CCC
56e9b497732b6122f8791166,3820,Osh Avia,,OSH,OSH AVIA,N,Kyrgyzstan,PPW
56e9b497732b6122f8791167,3821,Ostend Air College,,OCO,AIR COLLEGE,N,Belgium,JED
56e9b497732b6122f8791168,3822,Ostfriesische Lufttransport,OL,OLT,OLTRA,Y,Germany,QRW
56e9b497732b6122f8791169,3823,Oulun Tilauslento,,FNL,FINN FLIGHT,N,Finland,KOW
56e9b497732b6122f879116a,3824,Our Airline,ON,RON,OUR AIRLINE,N,Nauru,QFN
56e9b497732b6122f879116b,3825,Out Of The Blue Air Safaris,,OOT,OOTBAS,N,South Africa,PIR
56e9b497732b6122f879116c,3826,Overland Airways,OJ,OLA,OVERLAND,Y,Nigeria,MKL
56e9b497732b6122f879116d,3827,Oxaero,,OXE,OXOE,N,United Kingdom,PHF
56e9b497732b6122f879116e,3828,Oxford Air Services,,WDK,WOODSTOCK,N,United Kingdom,SYB
56e9b497732b6122f879116f,3829,Oxley Aviation,,OAA,,N,Australia,GOH
56e9b497732b6122f8791170,3830,Ozark Air Lines,OZ,OZR,OZARK,N,United States,SMK
56e9b497732b6122f8791171,3831,Ozjet Airlines,O7,OZJ,AUSJET,Y,Australia,SPR
56e9b497732b6122f8791172,3832,P & P Floss Pick Manufacturers,,KTL,KNOTTSBERRY,N,South Africa,ARN
56e9b497732b6122f8791173,3833,PAC Air,,PCR,PACAIR,N,United States,RGL
56e9b497732b6122f8791174,3834,PAN Air,PV,PNR,SKYJET,Y,Spain,YHI
56e9b497732b6122f8791175,3835,PB Air,9Q,PBA,PEEBEE AIR,Y,Thailand,MTT
56e9b497732b6122f8791176,3836,PDQ Air Charter,,PDQ,DISPATCH,N,United States,CHC
